title,genre
Shokugeki no Souma: San no Sara - Toutsuki Ressha-hen,"['ecchi', 'học đường', 'shounen', 'blu-ray']"
Kyoukai no Kanata [BD],"['đời thường', 'fantasy', 'siêu nhiên']"
One Punch Man Specials,"['hành động', 'hài hước', 'viễn tưởng', 'seinen', 'super power', 'siêu nhiên', 'parody']"
Tokyo Ravens [BD],"['hài hước', 'phép thuật', 'học đường', 'romance', 'siêu nhiên']"
Baki,"['hành động', 'shounen', 'martial arts']"
Ahiru no Sora,"['drama', 'thể thao', 'học đường', 'shounen']"
Shinmai Maou no Testament Burst: Toujou Basara no Shigoku Heiwa na Nichijou,"['hành động', 'ecchi', 'harem', 'romance', 'fantasy', 'demons']"
Choujin Koukousei-tachi wa Isekai demo Yoyuu de Ikinuku you desu!,"['fantasy', 'xuyên không - chuyển kiếp']"
Domestic na Kanojo,"['drama', 'học đường', 'shounen', 'romance']"
Sword Art Online Alternative: Gun Gale Online,"['hành động', 'phiêu lưu', 'romance', 'blu-ray', 'fantasy', 'game']"
Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru,"['hành động', 'hài hước', 'ecchi', 'phiêu lưu', 'fantasy']"
"Kumo Desu ga, Nani ka?","['hài hước', 'phiêu lưu', 'fantasy', 'xuyên không - chuyển kiếp']"
Darling in the FranXX,"['hành động', 'mecha', 'drama', 'romance', 'viễn tưởng']"
Assassin Pride,"['hành động', 'phép thuật', 'shounen', 'romance', 'fantasy']"
One Piece Movie 14: Stampede,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']"
Mairimashita! Iruma-kun,"['hài hước', 'fantasy', 'xuyên không - chuyển kiếp', 'mythology', 'học đường']"
Mar Heaven,"['hành động', 'hài hước', 'phiêu lưu', 'shounen', 'fantasy']"
Nhật Ký Thường Ngày Của Tiên Vương,"['hành động', 'hài hước', 'phép thuật', 'học đường', 'super power', 'siêu nhiên']"
High School DxD BorN Specials,"['hành động', 'hài hước', 'ecchi', 'học đường', 'shounen', 'harem', 'romance', 'demons']"
Baka To Test To Shoukanjuu,"['hài hước', 'học đường', 'romance', 'super power']"
Kuzu no Honkai,"['ecchi', 'drama', 'học đường', 'romance', 'seinen']"
