link,title1,title2,genre
https://animetvn.pro/thong-tin-phim/f5338-overlord-iii.html,Overlord III,Overlord Season 3,"['hành động', 'phiêu lưu', 'giả tưởng', 'phép thuật', 'siêu nhiên', 'game', 'isekai']"
https://animetvn.pro/thong-tin-phim/f5543-linh-kiem-ton.html,Linh Kiếm Tôn,Linh Kiếm Tôn,"['phiêu lưu', 'giả tưởng', 'bỉ ẩn', 'võ thuật', 'viễn tưởng', 'cartoon']"
https://animetvn.pro/thong-tin-phim/f2208-inuyasha.html,InuYasha,Inu Yasha - Khuyển Dạ Xoa,"['hành động', 'phiêu lưu', 'hài hước', 'giả tưởng', 'lịch sử', 'isekai', 'phép thuật', 'tình yêu', 'siêu nhiên', 'shounen', 'ác quỷ']"
https://animetvn.pro/thong-tin-phim/f3270-nanatsu-no-taizai.html,Nanatsu no Taizai,Thất Hình Đại Tội | Thất Tông Tội | The Seven Deadly Sins,"['hành động', 'phiêu lưu', 'giả tưởng', 'siêu nhiên', 'shounen']"
https://animetvn.pro/thong-tin-phim/f3690-high-school-dxd-born.html,High School DxD BorN,High School DxD Third Season | High School DxD 3rd Season | High School DxD Phần 3,"['hành động', 'học đường', 'hài hước', 'ecchi', 'harem', 'tình yêu', 'shounen', 'ác quỷ']"
https://animetvn.pro/thong-tin-phim/f5229-attack-on-titan-season-3.html,Attack on Titan Season 3,Shingeki no Kyojin Season 3 | Tấn Công Người Khổng Lồ Phần 3,"['hành động', 'drama', 'giả tưởng', 'bỉ ẩn', 'siêu năng lực', 'quân đội']"
https://animetvn.pro/thong-tin-phim/f5567-kenja-no-mago.html,Kenja no Mago,"Philosopher's Grandson, Magi's Grandson","['hành động', 'hài hước', 'giả tưởng', 'phép thuật', 'isekai']"
https://animetvn.pro/thong-tin-phim/f4969-isekai-wa-smartphone-to-tomo-ni.html,Isekai wa Smartphone to Tomo ni.,In a Different World with a Smartphone.,"['phiêu lưu', 'hài hước', 'harem', 'giả tưởng', 'tình yêu', 'isekai']"
https://animetvn.pro/thong-tin-phim/f2165-shingeki-no-kyojin-ban-blu-ray.html,Attack on Titan Season 1,"Tấn Công Người Khổng Lồ, Shingeki no Kyojin Season 1","['hành động', 'drama', 'giả tưởng', 'shounen', 'siêu năng lực']"
https://animetvn.pro/thong-tin-phim/f2112-dragon-ball.html,Dragon Ball,7 Viên Ngọc Rồng | 7 Viên Ngọc Rồng Phần 1 | Songoku Phần 1,"['phiêu lưu', 'hài hước', 'giả tưởng', 'shounen', 'siêu năng lực', 'võ thuật']"
