Unnamed: 0,link,title1,title2,genre
51,https://anime47.com/phim/kuroko-no-basket-ss3/m4720.html,Kuroko no Basket SS3,Kuroko no Basuke 3rd Season | Kuroko no Basket 3rd Season,"['thể thao', 'học đường']"
52,https://anime47.com/phim/seiken-tsukai-no-world-break/m4722.html,Seiken Tsukai no World Break,World Break: Aria of Curse for a Holy Swordsman | Seiken Tsukai no Kinshuu Eishou | Warubure,"['hành động', 'học đường', 'harem', 'romance', 'fantasy', 'siêu nhiên']"
53,https://anime47.com/phim/toriko/m1516.html,Toriko,Toriko,"['hành động', 'hài hước', 'phiêu lưu', 'shounen', 'fantasy']"
54,https://anime47.com/phim/re-zero-kara-hajimeru-isekai-seikatsu/m5527.html,Re:Zero kara Hajimeru Isekai Seikatsu,Re: Life in a different world from zero,"['drama', 'fantasy', 'psychological', 'thriller', 'xuyên không - chuyển kiếp']"
55,https://anime47.com/phim/nisekoi/m3797.html,Nisekoi,Nisekoi: False Love BD,"['hài hước', 'học đường', 'shounen', 'harem', 'romance']"
56,https://anime47.com/phim/gakusen-toshi-asterisk/m5256.html,Gakusen Toshi Asterisk,The Asterisk War: The Academy City on the Water | Academy Battle City Asterisk,"['hài hước', 'ecchi', 'học đường', 'harem', 'romance', 'viễn tưởng', 'fantasy', 'siêu nhiên']"
57,https://anime47.com/phim/dungeon-ni-deai-wo-motomeru-no-wa-machigatteiru-darou-ka/m4811.html,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,Is It Wrong to Try to Pick Up Girls in a Dungeon? | Dungeon ni Deai wo Motomeru noha Machigatteiru darouka | DanMachi | Is It Wrong That I Want to Meet You in a Dungeon,"['hành động', 'hài hước', 'ecchi', 'phiêu lưu', 'romance', 'fantasy']"
58,https://anime47.com/phim/kuroko-no-basket/m2300.html,Kuroko No Basket,Kuroko No Basket,"['thể thao', 'học đường']"
59,https://anime47.com/phim/date-a-live-season-2/m4029.html,Date A Live Season 2,Date A Live Ii | Date A Live 2 | Date A Live SS2 | Date A Live Season 2S,"['hài hước', 'mecha', 'học đường', 'harem', 'romance', 'viễn tưởng']"
60,https://anime47.com/phim/one-piece-special-9-episode-of-sabo/m5186.html,One Piece Special 9 : Episode of Sabo,3 Kyoudai no Kizuna Kiseki no Saikai to Uketsugareru Ishi,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']"
61,https://anime47.com/phim/saenai-heroine-no-sodatekata/m4702.html,Saenai Heroine no Sodatekata [BD],Saekano: How to Raise a Boring Girlfriend | Saenai Kanojo no Sodate-kata,"['hài hước', 'drama', 'học đường', 'romance']"
62,https://anime47.com/phim/hyouka/m2286.html,Hyouka,Hyouka Hyou-ka | Hyouka: You can't escape | Hyou-ka: You can't escape,"['học đường', 'đời thường', 'mystery']"
63,https://anime47.com/phim/magi-the-kingdom-of-magic/m3661.html,Magi: The Kingdom Of Magic [SS2],Magi: The Labyrinth Of Magic 2,"['hành động', 'phiêu lưu', 'phép thuật', 'shounen', 'fantasy']"
64,https://anime47.com/phim/nozoki-ana-bd/m2923.html,Nozoki Ana BD,Nozoki Ana | A Peephole,"['hài hước', 'ecchi', 'drama']"
65,https://anime47.com/phim/jujutsu-kaisen-tv/m7676.html,Jujutsu Kaisen (TV),Sorcery Fight,"['hành động', 'kinh dị', 'học đường', 'shounen', 'siêu nhiên', 'demons']"
66,https://anime47.com/phim/kuroko-no-basket-2/m3659.html,Kuroko No Basket 2,Kuroko No Basuke SS2,"['thể thao', 'học đường']"
67,https://anime47.com/phim/hentai-ouji-to-warawanai-neko/m3000.html,Hentai Ouji To Warawanai Neko,The Hentai Prince and the Stony Cat | HenNeko,"['hài hước', 'học đường', 'harem', 'romance', 'siêu nhiên']"
68,https://anime47.com/phim/death-march-kara-hajimaru-isekai-kyousoukyoku/m6507.html,Death March kara Hajimaru Isekai Kyousoukyoku,Death March to the Parallel World Rhapsody,"['phiêu lưu', 'harem', 'fantasy', 'xuyên không - chuyển kiếp']"
69,https://anime47.com/phim/seirei-tsukai-no-blade-dance/m4262.html,Seirei Tsukai no Blade Dance,Blade Dance of the Elementalers,"['hành động', 'hài hước', 'ecchi', 'học đường', 'harem', 'romance', 'fantasy', 'seinen', 'siêu nhiên']"
70,https://anime47.com/phim/kamen-rider-gaim/m3669.html,Kamen Rider Gaim,Kamen Rider Gaim,"['hành động', 'tokusatsu', 'super power', 'siêu nhiên']"
71,https://anime47.com/phim/haikyuu/m4535.html,Haikyuu!!,High Kyuu!!,"['hài hước', 'drama', 'thể thao', 'học đường', 'shounen']"
72,https://anime47.com/phim/one-punch-man/m5337.html,One Punch Man,One-Punch Man | Đấm Phát Chết Luôn | Phồng Tôm Quyền,"['hành động', 'hài hước', 'viễn tưởng', 'seinen', 'super power', 'siêu nhiên', 'parody']"
73,https://anime47.com/phim/princess-connect-re-dive/m7150.html,Princess Connect! Re:Dive,Princess Connect! Re:Dive,"['hành động', 'hài hước', 'ecchi', 'phiêu lưu', 'phép thuật', 'drama', 'harem', 'romance', 'viễn tưởng', 'fantasy']"
74,https://anime47.com/phim/boku-wa-tomodachi-ga-sukunai-bd/m2721.html,Boku Wa Tomodachi Ga Sukunai BD,"Boku Wa Tomodachi Ga Sukunai BD | I Don't Have Many Friends, Boku ha Tomodachi ga Sukunai | Haganai","['hài hước', 'ecchi', 'học đường', 'harem', 'đời thường', 'romance']"
75,https://anime47.com/phim/tensei-shitara-slime-datta-ken-2nd-season/m7500.html,Tensei shitara Slime Datta Ken 2nd Season,"Vào Ngày Đó Tôi Đã Chuyển Sinh Thành Con Slime | That Time I Got Reincarnated as a Slime Season 2, Tensura 2","['shounen', 'fantasy']"
76,https://anime47.com/phim/shinmai-maou-no-keiyakusha-bd/m4861.html,Shinmai Maou no Keiyakusha BD,The Testament of Sister New Devil [Blu-ray],"['hành động', 'ecchi', 'harem', 'romance', 'fantasy', 'demons']"
77,https://anime47.com/phim/dororo/m7106.html,Dororo,Dororo,"['hành động', 'phiêu lưu', 'shounen', 'lịch sử', 'siêu nhiên', 'demons']"
