link,title1,title2,genre
https://anime47.com/phim/cuu-thien-huyen-de-quyet/m8134.html,Cửu Thiên Huyền Đế Quyết,Cửu Thiên Huyền Đế Quyết,"['hành động', 'martial arts', 'hoạt hình trung quốc']"
https://anime47.com/phim/lycoris-recoil/m8689.html,Lycoris Recoil,Lycoris Recoil,"['hành động', 'phiêu lưu', 'yuri']"
https://anime47.com/phim/ma-vuong-di-lam-mua-2/m8665.html,Ma Vương Đi Làm! Mùa 2,Hataraku Maou-sama!! | The Devil is a Part-Timer! Season 2,"['hài hước', 'romance', 'fantasy', 'siêu nhiên', 'demons', 'xuyên không - chuyển kiếp']"
https://anime47.com/phim/luoi-guom-diet-quy-phan-2-khu-ky-vien/m7860.html,Lưỡi Gươm Diệt Quỷ Phần 2 : Khu Kỹ Viện,Kimetsu no Yaiba: Yuukaku-hen,"['hành động', 'shounen', 'lịch sử', 'blu-ray', 'siêu nhiên', 'demons']"
https://anime47.com/phim/sword-art-online-progressive-movie-hoshi-naki-yoru-no-aria/m8750.html,Sword Art Online: Progressive Movie - Hoshi Naki Yoru no Aria,"SAO Progressive Movie, Aria in the Starless Night, Hoshinaki Yoru no Aria","['hành động', 'phiêu lưu', 'romance', 'blu-ray', 'fantasy', 'game']"
https://anime47.com/phim/kakkou-no-iinazuke/m8312.html,Kakkou no Iinazuke,Hôn thê cúc cu | Cặp Đôi Tu Hú,"['hài hước', 'romance']"
https://anime47.com/phim/4-nin-wa-sorezore-uso-wo-tsuku/m8822.html,4-nin wa Sorezore Uso wo Tsuku,Four People and Their Respective Lies,"['hài hước', 'đời thường']"
https://anime47.com/phim/meitantei-conan-hannin-no-hanzawa-san/m8890.html,Meitantei Conan: Hannin no Hanzawa-san,Detective Conan: Hannin no Hanzawa-san | Detective Conan: Hanzawa the Criminal | 名探偵コナン 犯人の犯沢さん | Detective Conan: The Culprit Hanazawa,"['hài hước', 'mystery']"
https://anime47.com/phim/ta-da-choc-tuc-ca-dam-tu-luyen-gia/m8131.html,Ta Đã Chọc Tức Cả Đám Tu Luyện Giả,Ta Đã Chọc Tức Cả Đám Tu Luyện Giả,"['hành động', 'phiêu lưu', 'phép thuật', 'hoạt hình trung quốc']"
https://anime47.com/phim/yofukashi-no-uta/m8670.html,Yofukashi no Uta,Yofukashi no Uta,"['romance', 'siêu nhiên']"
https://anime47.com/phim/tinh-linh-huyen-tuong-ky/m7746.html,Tinh Linh Huyễn Tưởng Ký,Seirei Gensouki - Spirit Chronicles,"['hành động', 'trinh thám', 'drama', 'harem', 'romance', 'fantasy', 'xuyên không - chuyển kiếp']"
https://anime47.com/phim/one-piece-film-gold/m5782.html,One Piece Film: Gold,One Piece Film: Gold,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']"
https://anime47.com/phim/bang-hoa-ma-tru/m8206.html,Băng Hỏa Ma Trù,Băng Hỏa Ma Trù,['hoạt hình trung quốc']
https://anime47.com/phim/one-piece-special-9-episode-of-sabo/m5186.html,One Piece Special 9 : Episode of Sabo,3 Kyoudai no Kizuna Kiseki no Saikai to Uketsugareru Ishi,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']"
https://anime47.com/phim/van-gioi-than-chu/m7848.html,Vạn Giới Thần Chủ,Vạn Giới Thần Chủ,['hoạt hình trung quốc']
https://anime47.com/phim/sword-art-online/m3504.html,Sword Art Online [BD],Sword Art Online [BD],"['hành động', 'phiêu lưu', 'romance', 'blu-ray', 'fantasy', 'game']"
https://anime47.com/phim/bastard-ankoku-no-hakaishin-ona/m8361.html,Bastard!! Ankoku no Hakaishin (ONA),Bastard!! Ankoku no Hakaishin (ONA),"['hành động', 'hài hước', 'ecchi', 'phiêu lưu', 'fantasy']"
https://anime47.com/phim/cuc-dao-long-than/m8771.html,Cực Đạo Long Thần,Cực Đạo Long Thần,"['phiêu lưu', 'hoạt hình trung quốc']"
https://anime47.com/phim/shijou-saikyou-no-daimaou-murabito-a-ni-tensei-suru/m8318.html,"Shijou Saikyou no Daimaou, Murabito A ni Tensei suru",The Greatest Maou is Reborned to Get Friends,"['hành động', 'fantasy']"
https://anime47.com/phim/arknights-reimei-zensou/m8845.html,Arknights: Reimei Zensou,Arknights: Prelude to Dawn | アークナイツ -黎明前奏- | Arknights Animation: Prelude to Dawn,"['hành động', 'fantasy']"
https://anime47.com/phim/yama-no-susume-next-summit/m8848.html,Yama no Susume: Next Summit,Encouragement of Climb: Next Summit | ヤマノススメ Next Summit,"['phiêu lưu', 'hài hước', 'đời thường', 'cgdct']"
https://anime47.com/phim/boku-no-hero-academia-5th-season/m7899.html,Boku no Hero Academia 5th Season,My Hero Academia 5,"['hành động', 'học đường', 'super power']"
https://anime47.com/phim/shinmai-maou-no-testament-burst-toujou-basara-no-shigoku-heiwa-na-nichijou/m7056.html,Shinmai Maou no Testament Burst: Toujou Basara no Shigoku Heiwa na Nichijou,Shinmai Maou no Testament Burst: Toujou Basara no Shigoku Heiwa na Nichijou,"['hành động', 'ecchi', 'harem', 'romance', 'fantasy', 'demons']"
https://anime47.com/phim/gintama-linh-hon-bac/m2443.html,Gintama - Linh Hồn Bạc,Gintama - Linh Hồn Bạc,"['hành động', 'hài hước', 'shounen', 'lịch sử', 'viễn tưởng', 'parody']"
https://anime47.com/phim/than-mo/m8773.html,Thần Mộ,Thần Mộ,"['xuyên không - chuyển kiếp', 'hoạt hình trung quốc']"
https://anime47.com/phim/tuyet-the-vo-hon/m7890.html,Tuyệt Thế Võ Hồn,"A Paragon of Wuhun, Jueshi Wuhun, 绝世武魂, Peerless Martial Spirit","['hành động', 'hoạt hình trung quốc']"
https://anime47.com/phim/one-piece-3d-straw-hat-chase/m4691.html,One Piece 3D: Straw Hat Chase,One Piece Movie 11 | One Piece 3D: Straw Hat Chase,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']"
https://anime47.com/phim/dragon-ball-super/m5098.html,Dragon Ball Super,Dragon Ball Chou,"['hành động', 'hài hước', 'phiêu lưu', 'shounen', 'fantasy', 'super power', 'martial arts']"
https://anime47.com/phim/isekai-ojisan/m8679.html,Isekai Ojisan,"Isekai Uncle, Ojisan in Another World, Uncle from Another World","['hài hước', 'fantasy', 'xuyên không - chuyển kiếp']"
https://anime47.com/phim/isekai-yakkyoku/m8684.html,Isekai Yakkyoku,Alternate World Pharmacy | Hiệu Thuốc Tại Dị Giới,"['fantasy', 'xuyên không - chuyển kiếp', 'y tế']"
https://anime47.com/phim/arifureta-shokugyou-de-sekai-saikyou/m7317.html,Arifureta Shokugyou de Sekai Saikyou,Arifureta: From Commonplace to World's Strongest,"['hành động', 'phiêu lưu', 'harem', 'fantasy', 'xuyên không - chuyển kiếp']"
https://anime47.com/phim/that-gioi-de-nhat-tien/m8280.html,Thất Giới Đệ Nhất Tiên,Thất Giới Đệ Nhất Tiên,"['fantasy', 'hoạt hình trung quốc']"
https://anime47.com/phim/mahouka-koukou-no-rettousei/m3990.html,Mahouka Koukou No Rettousei,Mahouka Koukou No Rettousei,"['hành động', 'phép thuật', 'học đường', 'romance', 'viễn tưởng', 'siêu nhiên']"
https://anime47.com/phim/trinity-seven-that-tinh/m4443.html,Trinity Seven - Thất Tinh [BD],Trinity Seven - Thất Tinh [Blu-ray],"['hành động', 'hài hước', 'ecchi', 'phép thuật', 'học đường', 'shounen', 'harem', 'romance', 'fantasy', 'siêu nhiên']"
